host-relay init
host-TS init
SEMA4_mod init
host-shm init
host-create init
key:800  id:16711683  ptr:e5470000
finish init shmem
Start tracing......
tb total cycle cnt = 5180, load = 0, store = 0
tb total cycle cnt = 5190, load = 0, store = 0
tb total cycle cnt = 5200, load = 0, store = 0
tb total cycle cnt = 5210, load = 0, store = 0
tb total cycle cnt = 5220, load = 0, store = 0
tb total cycle cnt = 5230, load = 0, store = 0
tb total cycle cnt = 5240, load = 0, store = 0
tb total cycle cnt = 5250, load = 0, store = 0
tb total cycle cnt = 5260, load = 0, store = 0
tb total cycle cnt = 5270, load = 0, store = 0
tb total cycle cnt = 5280, load = 0, store = 0
tb total cycle cnt = 5290, load = 0, store = 0
tb total cycle cnt = 5300, load = 0, store = 0
tb total cycle cnt = 5310, load = 0, store = 0
tb total cycle cnt = 5320, load = 0, store = 0
tb total cycle cnt = 5330, load = 0, store = 0
tb total cycle cnt = 5340, load = 0, store = 0
tb total cycle cnt = 5350, load = 0, store = 0
tb total cycle cnt = 5360, load = 0, store = 0
tb total cycle cnt = 5370, load = 0, store = 0
tb total cycle cnt = 5380, load = 0, store = 0
tb total cycle cnt = 5390, load = 0, store = 0
tb total cycle cnt = 5400, load = 0, store = 0
tb total cycle cnt = 5410, load = 0, store = 0
tb total cycle cnt = 5420, load = 0, store = 0
tb total cycle cnt = 5430, load = 0, store = 0
tb total cycle cnt = 5440, load = 0, store = 0
tb total cycle cnt = 5450, load = 0, store = 0
tb total cycle cnt = 5460, load = 0, store = 0
tb total cycle cnt = 5470, load = 0, store = 0
tb total cycle cnt = 5480, load = 0, store = 0
tb total cycle cnt = 5490, load = 0, store = 0
tb total cycle cnt = 5500, load = 0, store = 0
tb total cycle cnt = 5510, load = 0, store = 0
tb total cycle cnt = 5520, load = 0, store = 0
tb total cycle cnt = 5530, load = 0, store = 0
tb total cycle cnt = 5540, load = 0, store = 0
tb total cycle cnt = 5550, load = 0, store = 0
tb total cycle cnt = 5560, load = 0, store = 0
tb total cycle cnt = 5570, load = 0, store = 0
tb total cycle cnt = 5580, load = 0, store = 0
tb total cycle cnt = 5590, load = 0, store = 0
tb total cycle cnt = 5600, load = 0, store = 0
tb total cycle cnt = 5610, load = 0, store = 0
tb total cycle cnt = 5620, load = 0, store = 0
tb total cycle cnt = 5630, load = 0, store = 0
tb total cycle cnt = 5640, load = 0, store = 0
tb total cycle cnt = 5650, load = 0, store = 0
tb total cycle cnt = 5660, load = 0, store = 0
tb total cycle cnt = 5670, load = 0, store = 0
tb total cycle cnt = 5680, load = 0, store = 0
tb total cycle cnt = 5690, load = 0, store = 0
tb total cycle cnt = 5700, load = 0, store = 0
tb total cycle cnt = 5710, load = 0, store = 0
tb total cycle cnt = 5720, load = 0, store = 0
tb total cycle cnt = 5730, load = 0, store = 0
tb total cycle cnt = 5740, load = 0, store = 0
tb total cycle cnt = 5750, load = 0, store = 0
tb total cycle cnt = 5760, load = 0, store = 0
tb total cycle cnt = 5770, load = 0, store = 0
